Tid,Avstand,X,Y,Z,Error,Power,uP,uI,uD
1065,300,13,15,1017,0,0,0,0,0
1066,301,12,17,1018,-1,0,0,0,0
1067,301,13,12,1014,-1,0,0,0,0
1068,300,12,14,1014,0,0,0,0,0
1069,300,12,10,1011,0,0,0,0,0
1070,301,12,10,1013,-1,0,0,0,0
1071,301,12,8,1014,-1,0,0,0,0
1072,301,12,7,1016,-1,0,0,0,0
1073,300,11,8,1016,0,0,0,0,0
1074,300,12,7,1016,0,0,0,0,0
1075,301,12,8,1017,-1,0,0,0,0
1076,301,12,7,1018,-1,0,0,0,0
1077,301,12,8,1019,-1,0,0,0,0
1078,301,12,6,1018,-1,0,0,0,0
1079,301,12,6,1018,-1,0,0,0,0
1080,301,12,6,1017,-1,0,0,0,0
1081,301,12,7,1016,-1,0,0,0,0
1082,301,12,7,1016,-1,0,0,0,0
1083,301,12,7,1016,-1,0,0,0,0
1084,301,12,7,1016,-1,0,0,0,0
1085,301,12,7,1017,-1,0,0,0,0
1086,301,11,7,1017,-1,0,0,0,0
1087,301,11,7,1017,-1,0,0,0,0
1088,299,11,7,1017,1,0,0,0,0
1089,300,11,7,1017,0,0,0,0,0
